accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.4607,1.8239,0,1,True,False,28423,15,45,"(5, 5)","(4, 4)",average,65
0.8629,0.504,0,1,True,True,193880,58,67,"(2, 2)","(4, 4)",average,17
0.6697,1.1732,0,1,True,False,41959,35,14,"(4, 4)","(3, 3)",average,70
0.9268,0.3227,0,1,True,True,119415,72,44,"(4, 4)","(4, 4)",average,28
0.9168,0.316,0,1,True,True,145055,106,52,"(4, 4)","(5, 5)",average,21
0.9212,0.3602,0,1,True,True,59839,59,26,"(5, 5)","(4, 4)",average,41
0.8554,0.5731,0,1,True,False,310978,88,43,"(2, 2)","(3, 3)",max,58
0.5845,1.3301,0,1,True,False,8457,70,3,"(3, 3)","(5, 5)",average,68
0.9558,0.2137,0,1,True,True,292599,89,88,"(5, 5)","(4, 4)",average,30
0.7576,0.9137,0,1,True,False,73649,18,49,"(3, 3)","(3, 3)",average,26
0.8629,0.4914,0,1,True,True,27995,116,4,"(3, 3)","(4, 4)",average,24
0.9506,0.2089,0,1,True,True,393623,107,99,"(5, 5)","(4, 4)",average,42
0.2399,2.736,0,1,True,False,131229,29,55,"(2, 2)","(3, 3)",max,62
0.9574,0.1701,0,1,True,True,360047,116,84,"(4, 4)","(4, 4)",average,14
0.9729,0.1212,8,1,False,True,1388855,83,85,"(3, 3)","(2, 2)",average,8
0.9549,0.1812,0,1,True,True,456218,121,19,"(2, 2)","(2, 2)",max,39
0.6408,1.2652,0,1,True,False,70321,43,62,"(3, 3)","(5, 5)",max,67
0.4901,1.8092,0,1,True,False,46647,20,28,"(2, 2)","(3, 3)",average,46
0.9373,0.2326,0,1,True,True,217555,111,39,"(2, 2)","(4, 4)",max,18
0.8857,0.4802,0,1,True,False,139399,45,81,"(5, 5)","(4, 4)",max,36
0.9086,0.3545,0,1,True,True,125981,95,26,"(3, 3)","(4, 4)",average,40
0.955,0.1995,0,1,True,True,45987,73,9,"(5, 5)","(3, 3)",max,58
0.5661,1.3877,0,1,True,False,4520,48,1,"(2, 2)","(4, 4)",average,38
0.8823,0.4695,0,1,True,True,146092,48,81,"(4, 4)","(4, 4)",average,19
0.6576,1.1181,0,1,True,False,39269,65,22,"(3, 3)","(5, 5)",average,55
0.9253,0.3028,0,1,True,True,217473,121,69,"(4, 4)","(5, 5)",average,27
0.9601,0.159,9,1,False,True,430462,59,89,"(3, 3)","(3, 3)",average,4
0.8038,0.6745,0,1,True,False,72834,27,53,"(3, 3)","(4, 4)",max,27
0.7983,0.7727,0,1,True,False,746414,48,79,"(2, 2)","(2, 2)",average,52
0.9465,0.2222,0,1,True,True,33475,69,12,"(4, 4)","(4, 4)",max,12
0.9225,0.343,0,1,True,False,770631,119,79,"(4, 4)","(3, 3)",average,69
0.9355,0.2569,0,1,True,True,312837,66,95,"(3, 3)","(4, 4)",average,12
0.8283,0.6434,0,1,True,False,141679,97,56,"(3, 3)","(5, 5)",max,65
0.9065,0.3431,0,1,True,True,560459,119,95,"(2, 2)","(4, 4)",average,17
0.294,2.4387,0,1,True,False,29979,16,36,"(3, 3)","(4, 4)",max,55
0.9657,0.1548,5,1,False,True,777523,58,68,"(3, 3)","(2, 2)",average,0
0.8864,0.4358,0,1,True,True,178408,62,77,"(4, 4)","(4, 4)",average,35
0.8795,0.4258,0,1,True,True,102935,80,49,"(3, 3)","(5, 5)",average,6
0.8207,0.6451,0,1,True,False,1471463,101,74,"(3, 3)","(2, 2)",average,67
0.8484,0.637,0,1,True,False,678812,65,53,"(2, 2)","(2, 2)",average,42
0.8904,0.4612,0,1,True,False,80297,46,10,"(4, 4)","(2, 2)",average,46
0.7823,0.8185,0,1,True,False,144509,35,82,"(3, 3)","(4, 4)",max,48
0.4628,1.7034,0,1,True,False,102261,17,73,"(2, 2)","(3, 3)",average,42
0.9599,0.1799,0,1,True,True,135695,71,11,"(4, 4)","(2, 2)",average,31
0.9203,0.332,0,1,True,True,447603,94,96,"(2, 2)","(4, 4)",average,29
0.9471,0.2409,0,1,True,True,106863,70,30,"(3, 3)","(4, 4)",max,28
0.6678,1.1512,0,1,True,False,66141,66,38,"(2, 2)","(5, 5)",average,46
0.8511,0.5298,0,1,True,True,13129,29,5,"(2, 2)","(3, 3)",max,5
0.8743,0.5039,0,1,True,False,256698,105,95,"(3, 3)","(5, 5)",max,60
0.9703,0.1455,0,1,True,True,471965,125,22,"(5, 5)","(2, 2)",max,56
0.9399,0.2389,0,1,True,True,781558,63,63,"(2, 2)","(2, 2)",average,29
0.9069,0.3388,10,1,True,True,194011,111,21,"(2, 2)","(3, 3)",average,7
0.9378,0.2714,0,1,True,True,14135,33,10,"(5, 5)","(4, 4)",max,3
0.9481,0.2169,6,1,False,True,140675,29,28,"(5, 5)","(2, 2)",average,0
0.8087,0.7483,0,1,True,False,47552,18,31,"(4, 4)","(3, 3)",average,33
0.8526,0.5156,0,1,True,True,14113,117,3,"(4, 4)","(5, 5)",max,35
0.8869,0.407,0,1,True,False,551741,53,61,"(4, 4)","(2, 2)",max,43
